year;length
2000;19.5
2001;19.5
2002;19.1
2003;19.1
2004;18.4
2005;18.3
2006;18.3
2007;19.5
2008;20.3
2009;20.6
2010;19.7
2011;18.6
2012;18.2
2013;18.2
2014;18.6
2015;18.7
2016;18.6
2017;18.6
2018;18.2
2019;18.2
2020;18.3
2021;18.6
2022;18.2
2023;18.3
